id,party_short,color,x,y,z,mu_x,mu_y,width,height,angle
2378,Die Mitte,#C56C46,-0.0552763819095478,-0.0954773869346733,0,-0.0517174046704814,-0.0898726333765798,0.17223539267346,0.311330481701831,-178.170128727692
2384,SVP,#4F7942,0.92964824120603,-0.21608040201005,0,0.871456515215637,-0.236640055703738,0.182139517287632,0.325662285826191,179.910498402454
2420,EVP,#FFA500,-0.437185929648241,-0.326633165829146,0,-0.442064598678992,-0.29647295537322,0.191440754005284,0.329919953563364,-175.351198744011
2421,Die Mitte,#C56C46,-0.14572864321608,0.457286432160804,0,-0.16152711927841,0.471664329554982,0.173875297966859,0.327743482522127,-177.422717177749
2447,EVP,#FFA500,-0.35678391959799,-0.0954773869346733,0,-0.360732234144226,-0.089569007724164,0.189099782218914,0.301056124837941,-174.650679865375
2475,Die Mitte,#C56C46,-0.175879396984925,0.035175879396985,0,-0.168412431106453,0.0135104477114251,0.178435814446786,0.314134144666957,-177.22570957256
2481,Grüne,#008000,-0.85929648241206,-0.366834170854271,0,-0.832461535491491,-0.359123124164156,0.209048179966447,0.354703431407814,177.790720085592
2482,FDP,#0000FF,0.366834170854271,0.276381909547739,0,0.379182481878837,0.307449483881748,0.196708741143131,0.345761924484643,173.960445848897
2498,GLP,#32CD32,-0.42713567839196,0.266331658291457,0,-0.449117426211067,0.278697602865276,0.192243878902102,0.339863320591835,-167.850389705504
2505,Grüne,#008000,-0.175879396984925,0.085427135678392,0,-0.175120993216941,0.0825995066898275,0.178491300179987,0.338901109593929,-179.429468932546
2547,FDP,#0000FF,0.35678391959799,0.246231155778895,0,0.377396074849838,0.278626763825741,0.181231735977859,0.314231679949913,172.857834966534
2548,GLP,#32CD32,-0.477386934673367,0.42713567839196,0,-0.488799300827177,0.450085890781112,0.198678617746614,0.345909654142848,-167.203185111632
2551,Die Mitte,#C56C46,-0.0653266331658291,-0.00502512562814073,0,-0.0568398670581047,-0.00770134211236002,0.168499073159769,0.298391547536954,178.833948970987
2553,GLP,#32CD32,-0.437185929648241,0.276381909547739,0,-0.46386771359709,0.283477115043966,0.192702910612989,0.34323838469114,-167.669893504308
2566,SVP,#4F7942,0.517587939698493,-0.376884422110553,0,0.52643912199107,-0.373299075384759,0.222740451959661,0.296533358080893,-178.34781021122
2568,GLP,#32CD32,-0.366834170854271,0.326633165829146,0,-0.366011730007044,0.32320572674235,0.18436737833079,0.32380787804875,-174.624720346636
2593,SP,#FF0000,-0.869346733668342,-0.14572864321608,0,-0.833267673193003,-0.144558397788319,0.213272992642033,0.348487016742559,-177.985446253828
2596,SVP,#4F7942,0.748743718592965,-0.135678391959799,0,0.761226825131883,-0.138797597414989,0.230591190500663,0.309627396705462,173.335294241181
2601,SP,#FF0000,-0.457286432160804,0.0653266331658291,0,-0.499995404422517,0.0695030736574426,0.233453529081163,0.346933205465314,-173.257811559375
2609,FDP,#0000FF,0.386934673366834,0.336683417085427,0,0.413622160278554,0.361868249505715,0.219158152088044,0.34438840559054,172.651334144436
2630,GLP,#32CD32,-0.417085427135678,0.577889447236181,0,-0.417594576393364,0.599307965046315,0.193938436195516,0.341066611283437,-170.334893417752
2633,GLP,#32CD32,-0.236180904522613,0.537688442211055,0,-0.240172331162313,0.546410700073509,0.176722960846026,0.334954281002154,-174.170059890894
2640,EVP,#FFA500,-0.417085427135678,-0.0150753768844221,0,-0.416643117738283,-0.023627711098788,0.191488909840284,0.296999013399973,-172.493702974557
2650,SP,#FF0000,-0.899497487437186,-0.185929648241206,0,-0.85114567379874,-0.190434934179868,0.199377609991094,0.346467333016706,-178.791906276011
2654,GLP,#32CD32,-0.477386934673367,0.437185929648241,0,-0.485544230723936,0.451515215772673,0.208198918942056,0.34618108986857,-165.840287053126
2656,FDP,#0000FF,0.115577889447236,0.336683417085427,0,0.125142329870265,0.340168001824665,0.185443257715419,0.345025694367574,-179.927456697342
2661,SP,#FF0000,-0.849246231155779,-0.28643216080402,0,-0.826670549441566,-0.287608876281686,0.212609652039052,0.345295268407484,179.44410752481
2665,Grüne,#008000,-0.386934673366834,-0.0653266331658291,0,-0.394321161647119,-0.0694000814490162,0.187690110035956,0.300834583971431,-176.942557010663
2678,Grüne,#008000,-0.748743718592965,-0.0753768844221106,0,-0.758370640919375,-0.0810059331935591,0.235462611051891,0.347613532915379,-171.226100515727
2696,SVP,#4F7942,0.809045226130653,-0.296482412060301,0,0.811858889838104,-0.307343247923483,0.213706522813729,0.328288974809185,-178.096086417969
2707,SVP,#4F7942,0.597989949748744,-0.306532663316583,0,0.62040273205663,-0.272408509095536,0.230179664216543,0.299166290648382,178.774983692174
2709,Die Mitte,#C56C46,-0.206030150753769,0.035175879396985,0,-0.212368419357502,0.0380928352111397,0.178310020215131,0.291535364605228,-176.223801767534
2710,EVP,#FFA500,-0.085427135678392,-0.14572864321608,0,-0.0869415522276828,-0.143728047672576,0.168458416885964,0.296849450883322,179.777984778072
2715,Grüne,#008000,-0.628140703517588,-0.226130653266332,0,-0.667934790351176,-0.240390509337163,0.240854750456788,0.341504403051454,175.283247419114
2754,Grüne,#008000,-0.809045226130653,-0.155778894472362,0,-0.80935160949133,-0.181193551117862,0.22057637865203,0.359235970561963,-179.023263437705
2755,Die Mitte,#C56C46,-0.0753768844221106,0.165829145728643,0,-0.0692875191015435,0.200263565936291,0.189568570474433,0.316086267070231,-178.709472761363
2756,GLP,#32CD32,-0.366834170854271,0.306532663316583,0,-0.362383986938073,0.314131253446676,0.189883311653862,0.344817263047902,-175.570979799432
2759,Die Mitte,#C56C46,0.206030150753769,0.336683417085427,0,0.205905918576212,0.336490241660862,0.205410304204328,0.358707776203845,-175.750773642212
2761,GLP,#32CD32,-0.346733668341709,0.0552763819095476,0,-0.35153644620263,0.0723681703070633,0.190981642596231,0.317339425180177,-177.308563217729
2762,SVP,#4F7942,0.577889447236181,-0.296482412060301,0,0.585717543219029,-0.235491727702663,0.223010186868678,0.305333200650174,175.72042051827
2776,Die Mitte,#C56C46,-0.00502512562814073,0.125628140703518,0,-0.00121001592667293,0.147543620811165,0.170742708350604,0.305059411300395,-177.58100734789
2785,FDP,#0000FF,0.477386934673367,0.236180904522613,0,0.49604159618604,0.265450303189761,0.214717422755155,0.331612188464347,173.356571426572
