,answer_32214,answer_32215,answer_32268,answer_32245,x,y,mu_x,mu_y,width,height,angle
49,0,1,-1,-1,0.346733668,-0.547738693,-0.015019516,-0.301356364,0.81153641,1.077182611,-123.0541147
50,0,2,0,0,-0.587939698,-0.246231156,-0.520824975,-0.182611498,0.611384424,0.919120866,-176.089722
51,0,2,0,1,-0.326633166,-0.246231156,-0.389333939,-0.198372806,0.690590696,0.898429678,-173.6357738
52,0,2,0,2,-0.085427136,-0.316582915,-0.247943572,-0.214823984,0.742479232,0.876245298,-170.0721562
53,0,2,0,3,-0.065326633,-0.366834171,-0.058534242,-0.231866219,0.697412471,0.843467462,-178.0430282
54,0,2,0,-1,-0.165829146,-0.256281407,-0.353551089,-0.200433678,0.776736064,0.898544025,-167.1458735
55,0,2,1,0,-0.43718593,-0.43718593,-0.460272625,-0.257224789,0.650832718,0.932974351,-167.9194916
56,0,2,1,1,-0.105527638,-0.648241206,-0.29026438,-0.294639759,0.741821621,0.916038362,-156.1317643
57,0,2,1,2,-0.005025126,-0.527638191,-0.123539888,-0.329213319,0.757629153,0.889505352,-146.7101132
58,0,2,1,3,-0.005025126,-0.527638191,0.070519353,-0.362429008,0.724158241,0.825590897,-157.329651
59,0,2,1,-1,-0.015075377,-0.537688442,-0.216721715,-0.305497153,0.801012252,0.95017946,-135.2737105
60,0,2,2,0,-0.226130653,-0.909547739,-0.397125711,-0.319387813,0.680078392,0.955809344,-157.7595649
61,0,2,2,1,0.075376884,-0.798994975,-0.173524197,-0.382311986,0.752501667,0.961668915,-136.7099771
62,0,2,2,2,0.085427136,-0.829145729,0.00940594,-0.433706603,0.732858427,0.90653073,-131.2704985
63,0,2,2,3,0.155778894,-0.778894472,0.19697776,-0.473567038,0.702622185,0.793233974,-138.2382249
64,0,2,2,-1,0.095477387,-0.849246231,-0.061372619,-0.406521038,0.765684046,1.008493313,-123.0150021
65,0,2,3,0,-0.135678392,-1,-0.10798049,-0.624926513,0.579548142,0.683529143,-79.57093821
66,0,2,3,1,0.115577889,-0.91959799,0.131476306,-0.61534221,0.581876703,0.784778745,-82.99319859
67,0,2,3,2,0.125628141,-0.949748744,0.244929942,-0.611182412,0.580233922,0.720078436,-79.82369169
68,0,2,3,3,0.246231156,-0.989949749,0.359870498,-0.605933225,0.581248384,0.669801443,-73.37088259
69,0,2,3,-1,0.145728643,-1,0.25319861,-0.61026377,0.58385145,0.777014573,-82.26930413
70,0,2,-1,0,-0.547738693,-0.286432161,-0.476990754,-0.229574785,0.654931207,0.940475247,-167.6087953
71,0,2,-1,1,-0.326633166,-0.326633166,-0.289739676,-0.278109641,0.757723514,0.960350509,-147.6566414
72,0,2,-1,2,-0.005025126,-0.557788945,-0.105867377,-0.329078647,0.760914644,0.966774665,-137.0454673
73,0,2,-1,3,0.075376884,-0.67839196,0.115097622,-0.38709857,0.720872124,0.901858104,-140.7734335
74,0,2,-1,-1,-0.035175879,-0.467336683,-0.202155481,-0.302694093,0.796195514,1.03055512,-129.943236
75,0,3,0,0,-0.748743719,-0.306532663,-0.588686473,-0.225808547,0.557646734,0.910017134,-175.4350291
76,0,3,0,1,-0.336683417,-0.386934673,-0.482999535,-0.243718271,0.631141976,0.892435811,-173.1428107
77,0,3,0,2,-0.226130653,-0.396984925,-0.366275342,-0.25976279,0.702915857,0.874892035,-168.5520272
78,0,3,0,3,-0.115577889,-0.407035176,-0.173220031,-0.285587047,0.673162645,0.833715707,-173.787226
79,0,3,0,-1,-0.587939698,-0.346733668,-0.472797043,-0.242483049,0.694396641,0.895101624,-169.5647194
80,0,3,1,0,-0.658291457,-0.427135678,-0.538798187,-0.291278667,0.596384831,0.921083031,-169.0898288
81,0,3,1,1,-0.346733668,-0.889447236,-0.405331856,-0.326814955,0.677218645,0.903094203,-161.5342942
82,0,3,1,2,-0.095477387,-0.638190955,-0.259850948,-0.359564104,0.721839454,0.885371574,-150.4231325
83,0,3,1,3,-0.045226131,-0.577889447,-0.058747751,-0.401951763,0.693368935,0.815298395,-155.445452
