index,x,y,party,color,party_id
0,0.420163955070379,-0.0763465961959113,Grüne,#008000,4
1,-0.716146501022419,0.152773828429721,FDP,#4169E1,2
2,-0.512779056322582,0.0031426518471791,FDP,#4169E1,2
3,1.56129761621624,-0.475505115486431,Grüne,#008000,4
4,-0.0416296817094694,-0.175774068177543,glp,#32CD32,6
6,-0.261368079568883,-0.0351917748270598,CVP,#FFA500,3
7,-0.305932829646015,-1.14718560286484,FDP,#4169E1,2
8,0.332959519763557,-0.864028950131463,Grüne,#0080000
10,0.947497211165287,-0.466110399967733,Grüne,#008000,4
11,1.68522316213741,0.483810084744467,Grüne,#008000,4
13,0.104154141372911,0.308690615312649,CVP,#FFA500,3
14,-0.52498770200278,0.305015319704759,FDP,#4169E1,2
15,-0.426218576388907,2.05085910955971,glp,#32CD32,6
17,-0.192070784394241,-1.1381242515269,CVP,#FFA500,3
18,-0.294538372997137,0.144478506247498,CVP,#FFA500,3
19,-0.221590541364575,-0.0079720029708834,CVP,#FFA500,3
20,0.132608783248218,0.653900865266472,CVP,#FFA500,3
