,index,party,color,party_id,yays,nays
1047,3070,CVP,#FFA500,3,42,33
1048,3071,FDP,#4169E1,2,38,37
1049,3072,glp,#32CD32,6,49,26
1050,3073,glp,#32CD32,6,51,24
1051,3079,BDP,#800020,5,51,24
1052,3080,BDP,#800020,5,42,33
1053,3084,glp,#32CD32,6,49,26
1054,3085,CVP,#FFA500,3,27,48
1055,3089,CVP,#FFA500,3,64,11
1056,3098,Grüne,#008000,4,43,32
1058,3101,BDP,#800020,5,38,37
1059,3102,glp,#32CD32,6,44,31
1060,3103,glp,#32CD32,6,55,20
1061,3104,glp,#32CD32,6,46,29
1063,3106,Grüne,#008000,4,48,27
1066,3109,BDP,#800020,5,37,38
1067,3110,BDP,#800020,5,47,28
1069,3112,SVP,#006400,0,34,41
1070,3114,Grüne,#008000,4,43,32
1072,3116,Grüne,#008000,4,48,27
1073,3117,FDP,#4169E1,2,42,33
1075,3121,CVP,#FFA500,3,44,31
1076,3122,CVP,#FFA500,3,40,35
1077,3123,CVP,#FFA500,3,35,40
1078,3124,FDP,#4169E1,2,38,37
1079,3125,glp,#32CD32,6,42,33
1080,3126,SP,#FF0000,1,47,28
1081,3127,SP,#FF0000,1,46,29
1082,3128,SP,#FF0000,1,49,26
1084,3130,SP,#FF0000,1,44,31
1085,3131,Grüne,#008000,4,45,30
1086,3135,FDP,#4169E1,2,39,36
1087,3136,FDP,#4169E1,2,45,30
1088,3137,SVP,#006400,0,33,42
1090,3139,BDP,#800020,5,45,30
1091,3140,glp,#32CD32,6,42,33
1092,3141,glp,#32CD32,6,43,32
1093,3142,glp,#32CD32,6,42,33
1094,3143,SVP,#006400,0,35,40
1095,3144,SVP,#006400,0,20,55
1096,3145,glp,#32CD32,6,44,31
1098,3147,SVP,#006400,0,31,44
1099,3148,SVP,#006400,0,34,41
1100,3149,FDP,#4169E1,2,31,44
1101,3150,FDP,#4169E1,2,36,39
1102,3151,CVP,#FFA500,3,40,35
1103,3152,CVP,#FFA500,3,36,39
1104,3153,FDP,#4169E1,2,41,34
1105,3155,FDP,#4169E1,2,35,40
1106,3156,SVP,#006400,0,26,49
1107,3162,Grüne,#008000,4,43,32
1108,3164,FDP,#4169E1,2,34,41
1109,3165,CVP,#FFA500,3,46,29
1110,3166,CVP,#FFA500,3,50,25
1111,3167,glp,#32CD32,6,46,29
1113,3169,glp,#32CD32,6,58,17
1114,3170,glp,#32CD32,6,44,31
1115,3171,glp,#32CD32,6,44,31
1116,3173,SP,#FF0000,1,47,28
1117,3174,BDP,#800020,5,32,43
1118,3177,Grüne,#008000,4,45,30
1119,3179,Grüne,#008000,4,41,34
1120,3180,SVP,#006400,0,32,43
1121,3183,glp,#32CD32,6,44,31
1122,3184,CVP,#FFA500,3,38,37
1123,3185,CVP,#FFA500,3,39,36
1124,3186,CVP,#FFA500,3,38,37
1125,3187,CVP,#FFA500,3,43,32
1126,3195,Grüne,#008000,4,42,33
1127,3198,Grüne,#008000,4,49,26
1128,3199,Grüne,#008000,4,42,33
1129,3201,BDP,#800020,5,47,28
1130,3204,Grüne,#008000,4,49,26
1131,3206,Grüne,#008000,4,47,28
1133,3209,Grüne,#008000,4,44,31
1135,3211,CVP,#FFA500,3,25,50
1136,3212,SVP,#006400,0,24,51
1137,3213,FDP,#4169E1,2,25,50
1140,3217,FDP,#4169E1,2,33,42
1141,3218,FDP,#4169E1,2,30,45
1142,3219,CVP,#FFA500,3,50,25
1143,3220,CVP,#FFA500,3,41,34
1145,3222,CVP,#FFA500,3,35,40
1146,3223,CVP,#FFA500,3,45,30
1147,3224,CVP,#FFA500,3,48,27
1148,3226,SP,#FF0000,1,48,27
1149,3227,SP,#FF0000,1,51,24
1150,3228,SP,#FF0000,1,47,28
1151,3229,SP,#FF0000,1,49,26
1152,3230,SP,#FF0000,1,44,31
1153,3231,SP,#FF0000,1,47,28
1154,3232,SP,#FF0000,1,47,28
1155,3233,SP,#FF0000,1,44,31
1156,3234,SP,#FF0000,1,47,28
1157,3235,SP,#FF0000,1,45,30
1158,3237,SP,#FF0000,1,46,29
1159,3238,SP,#FF0000,1,49,26
1160,3239,SP,#FF0000,1,45,30
1161,3240,Grüne,#008000,4,41,34
1162,3242,SVP,#006400,0,27,48
1163,3243,SVP,#006400,0,28,47
1165,3246,FDP,#4169E1,2,37,38
1166,3247,SVP,#006400,0,47,28
1168,3251,glp,#32CD32,6,40,35
1169,3252,glp,#32CD32,6,40,35
1170,3253,glp,#32CD32,6,40,35
1171,3254,CVP,#FFA500,3,41,34
1174,3258,SP,#FF0000,1,48,27
1175,3259,SVP,#006400,0,33,42
1177,3261,CVP,#FFA500,3,27,48
1178,3262,CVP,#FFA500,3,38,37
1179,3264,glp,#32CD32,6,49,26
1180,3265,SVP,#006400,0,39,36
1181,3266,SVP,#006400,0,41,34
1182,3273,CVP,#FFA500,3,35,40
1183,3275,FDP,#4169E1,2,33,42
1184,3276,glp,#32CD32,6,44,31
1185,3279,BDP,#800020,5,51,24
1187,3284,CVP,#FFA500,3,49,26
1188,3287,CVP,#FFA500,3,40,35
1190,3295,BDP,#800020,5,48,27
1191,3296,BDP,#800020,5,43,32
1192,3300,Grüne,#008000,4,46,29
1193,3301,Grüne,#008000,4,47,28
1194,3306,SVP,#006400,0,28,47
1195,3307,SVP,#006400,0,20,55
1197,3309,Grüne,#008000,4,45,30
1198,3310,FDP,#4169E1,2,38,37
1199,3311,FDP,#4169E1,2,39,36
1200,3314,CVP,#FFA500,3,28,47
1201,3315,CVP,#FFA500,3,46,29
1202,3316,CVP,#FFA500,3,34,41
1203,3317,CVP,#FFA500,3,46,29
1204,3318,CVP,#FFA500,3,48,27
1205,3319,CVP,#FFA500,3,46,29
1206,3320,CVP,#FFA500,3,30,45
