,index,party,color,party_id,yays,nays
1651,4031,FDP,#4169E1,2,40,35
1652,4033,CVP,#FFA500,3,45,30
1653,4034,BDP,#800020,5,43,32
1654,4035,SP,#FF0000,1,48,27
1655,4036,SP,#FF0000,1,47,28
1656,4037,SP,#FF0000,1,49,26
1659,4040,SP,#FF0000,1,49,26
1661,4044,SVP,#006400,0,27,48
1662,4045,glp,#32CD32,6,53,22
1664,4049,SVP,#006400,0,27,48
1665,4050,CVP,#FFA500,3,24,51
1666,4051,CVP,#FFA500,3,27,48
1667,4053,SVP,#006400,0,34,41
1670,4056,SP,#FF0000,1,48,27
1672,4059,CVP,#FFA500,3,35,40
1673,4061,FDP,#4169E1,2,24,51
1674,4066,SP,#FF0000,1,45,30
1675,4067,SVP,#006400,0,31,44
1676,4068,FDP,#4169E1,2,47,28
1677,4069,FDP,#4169E1,2,39,36
1678,4070,glp,#32CD32,6,42,33
1679,4071,FDP,#4169E1,2,34,41
1680,4075,Grüne,#008000,4,50,25
1681,4076,FDP,#4169E1,2,33,42
1682,4079,SP,#FF0000,1,43,32
1683,4080,SP,#FF0000,1,52,23
1685,4087,Grüne,#008000,4,44,31
1686,4091,glp,#32CD32,6,47,28
1687,4093,Grüne,#008000,4,39,36
1688,4094,SVP,#006400,0,50,25
1689,4096,Grüne,#008000,4,42,33
1691,4099,CVP,#FFA500,3,30,45
1692,4101,CVP,#FFA500,3,34,41
1693,4103,BDP,#800020,5,42,33
1694,4105,SP,#FF0000,1,45,30
1695,4106,SP,#FF0000,1,44,31
1696,4107,SP,#FF0000,1,43,32
1697,4108,SP,#FF0000,1,50,25
1699,4116,SVP,#006400,0,26,49
1700,4117,SVP,#006400,0,46,29
1701,4118,SVP,#006400,0,41,34
1702,4119,glp,#32CD32,6,50,25
1703,4120,CVP,#FFA500,3,36,39
1704,4121,CVP,#FFA500,3,27,48
1705,4122,SP,#FF0000,1,44,31
1706,4123,SVP,#006400,0,29,46
